Cloudflare IP Optimizer — 完整测试结果
测试时间: 2026-06-18 10:05:16
成功: 2546 / 失败: 5584 / 总计: 8130

======================================================================
IP                                               延迟   Colo   Loc     状态码
104.21.109.28                                 72.5ms    DFW    US     200
104.24.51.129                                 72.9ms    DFW    US     200
104.24.60.34                                  73.3ms    ORD    US     200
104.21.113.133                                73.4ms    DFW    US     200
104.21.77.160                                 73.9ms    ORD    US     200
104.21.8.221                                  75.2ms    ORD    US     200
104.21.97.125                                 75.5ms    DFW    US     200
104.24.56.176                                 76.1ms    DFW    US     200
104.24.16.8                                   76.3ms    ORD    US     200
104.21.116.74                                 77.0ms    ORD    US     200
104.21.96.45                                  77.1ms    DFW    US     200
172.64.187.237                                77.4ms    DFW    US     200
104.21.2.75                                   79.2ms    DFW    US     200
104.21.67.170                                 79.2ms    DFW    US     200
104.24.59.51                                  79.6ms    ORD    US     200
154.197.64.88                                 79.7ms    ORD    US     200
104.21.106.51                                 80.6ms    DFW    US     200
104.24.50.169                                 80.6ms    ORD    US     200
104.21.110.90                                 80.7ms    DFW    US     200
172.64.158.169                                80.9ms    ORD    US     200
104.24.54.59                                  81.5ms    DFW    US     200
108.162.198.228                               81.9ms    DFW    US     200
172.64.233.152                                83.5ms    ORD    US     200
104.24.44.215                                 84.4ms    ORD    US     200
172.64.235.131                                85.2ms    DFW    US     200
108.162.196.100                               85.3ms    ORD    US     200
104.24.57.39                                  86.9ms    ORD    US     200
108.162.194.85                                86.9ms    ORD    US     200
141.101.121.173                               88.6ms    DFW    US     200
91.193.59.172                                 88.7ms    ORD    US     200
104.21.108.23                                 89.0ms    DFW    US     200
172.64.154.153                                89.8ms    ORD    US     200
172.64.231.216                                90.0ms    DFW    US     200
172.64.155.119                                91.1ms    ORD    US     200
172.64.156.157                                91.5ms    ORD    US     200
104.21.83.32                                  93.6ms    DFW    US     200
104.21.107.9                                  93.7ms    DFW    US     200
172.64.147.28                                 93.9ms    DFW    US     200
172.64.144.152                                94.0ms    DFW    US     200
162.159.1.46                                  94.3ms    DFW    US     200
104.24.53.17                                  94.5ms    DFW    US     200
172.64.152.155                                94.6ms    ORD    US     200
172.64.230.207                                96.1ms    ORD    US     200
172.64.151.144                                97.5ms    ORD    US     200
104.24.12.125                                 97.7ms    ORD    US     200
172.64.150.4                                  98.5ms    DFW    US     200
104.24.3.21                                   98.8ms    ORD    US     200
172.64.146.49                                 99.3ms    ORD    US     200
108.162.193.82                                99.6ms    ORD    US     200
104.21.50.5                                   99.8ms    DFW    US     200
172.64.157.35                                100.4ms    DFW    US     200
104.24.7.63                                  102.0ms    DFW    US     200
108.162.195.125                              102.4ms    DFW    US     200
104.24.15.127                                102.9ms    ORD    US     200
23.227.60.44                                 103.4ms    DFW    US     200
104.24.0.178                                 105.0ms    DFW    US     200
104.16.149.32                                105.1ms    ORD    US     200
172.64.148.254                               105.1ms    ORD    US     200
104.24.20.78                                 105.2ms    DFW    US     200
77.74.228.14                                 105.5ms    ORD    US     200
104.24.24.228                                106.1ms    DFW    US     200
162.159.2.13                                 106.3ms    ORD    US     200
8.35.211.32                                  107.0ms    ORD    US     200
172.64.145.151                               107.0ms    DFW    US     200
104.24.5.249                                 107.1ms    DFW    US     200
104.24.1.107                                 107.9ms    ORD    US     200
104.24.4.196                                 107.9ms    ORD    US     200
8.34.70.246                                  109.2ms    DFW    US     200
104.24.14.121                                109.4ms    DFW    US     200
104.24.6.114                                 109.5ms    DFW    US     200
172.64.234.187                               110.6ms    ORD    US     200
104.16.112.252                               112.2ms    ORD    US     200
172.64.232.222                               112.5ms    DFW    US     200
154.194.12.73                                112.6ms    ORD    US     200
94.140.0.187                                 113.3ms    DFW    US     200
104.24.42.187                                113.6ms    DFW    US     200
104.21.126.85                                113.7ms    ORD    US     200
104.16.119.247                               117.4ms    ORD    US     200
162.159.7.234                                121.9ms    ORD    US     200
8.39.204.244                                 125.5ms    DFW    US     200
104.16.105.1                                 125.8ms    ORD    US     200
104.21.13.138                                126.1ms    DFW    US     200
104.21.80.101                                132.0ms    DFW    US     200
23.227.38.249                                132.6ms    ORD    US     200
104.21.127.125                               134.0ms    DFW    US     200
172.67.65.51                                 134.3ms    ORD    US     200
173.245.49.80                                134.8ms    DFW    US     200
104.16.110.222                               135.9ms    DFW    US     200
77.37.33.11                                  137.7ms    DFW    US     200
104.16.139.171                               138.0ms    DFW    US     200
104.16.128.86                                138.7ms    ORD    US     200
104.16.95.200                                139.1ms    ORD    US     200
92.53.191.189                                140.3ms    ORD    US     200
104.16.144.236                               140.9ms    ORD    US     200
104.16.132.16                                141.4ms    ORD    US     200
104.16.151.12                                142.1ms    DFW    US     200
104.21.115.202                               142.1ms    DFW    US     200
104.21.20.100                                142.2ms    DFW    US     200
104.16.121.166                               142.3ms    ORD    US     200
104.16.106.121                               142.4ms    DFW    US     200
104.16.140.102                               142.7ms    ORD    US     200
104.16.126.158                               142.8ms    ORD    US     200
92.53.190.172                                145.8ms    ORD    US     200
104.16.108.6                                 146.0ms    ORD    US     200
77.75.199.218                                146.9ms    ORD    US     200
104.16.129.165                               147.9ms    ORD    US     200
104.16.147.8                                 149.3ms    DFW    US     200
92.53.189.74                                 149.3ms    DFW    US     200
159.246.55.204                               149.3ms    ORD    US     200
104.21.118.120                               149.5ms    ORD    US     200
216.205.52.28                                149.6ms    DFW    US     200
104.24.128.129                               150.0ms    ORD    US     200
104.24.129.88                                150.0ms    ORD    US     200
88.216.66.170                                150.8ms    ORD    US     200
104.16.102.233                               151.6ms    DFW    US     200
104.21.119.80                                152.2ms    ORD    US     200
89.117.112.235                               152.5ms    ORD    US     200
104.21.194.130                               153.5ms    ORD    US     200
104.16.146.70                                154.0ms    ORD    US     200
104.129.164.38                               154.0ms    DFW    US     200
91.193.58.29                                 155.1ms    ORD    US     200
162.159.5.250                                156.7ms    ORD    US     200
104.16.116.150                               157.2ms    ORD    US     200
104.16.131.104                               157.4ms    DFW    US     200
5.10.246.92                                  158.5ms    ORD    US     200
172.64.149.110                               158.7ms    DFW    US     200
104.16.150.220                               158.8ms    ORD    US     200
104.16.133.213                               159.1ms    ORD    US     200
104.16.94.170                                160.7ms    ORD    US     200
104.16.130.130                               161.3ms    ORD    US     200
104.16.143.205                               162.6ms    ORD    US     200
104.16.142.222                               163.2ms    DFW    US     200
92.243.74.224                                163.3ms    DFW    US     200
104.16.148.206                               163.5ms    DFW    US     200
104.16.4.128                                 163.6ms    ORD    US     200
104.16.99.189                                163.8ms    DFW    US     200
104.16.86.91                                 164.3ms    ORD    US     200
104.21.51.187                                164.3ms    DFW    US     200
104.16.107.64                                164.8ms    DFW    US     200
104.16.87.41                                 165.2ms    ORD    US     200
104.16.91.55                                 165.2ms    ORD    US     200
104.21.125.150                               165.2ms    DFW    US     200
104.21.117.218                               165.6ms    ORD    US     200
104.16.115.190                               166.5ms    ORD    US     200
104.16.100.164                               166.9ms    DFW    US     200
104.16.118.206                               168.1ms    ORD    US     200
104.21.124.107                               168.3ms    ORD    US     200
104.16.78.159                                168.9ms    ORD    US     200
104.16.134.179                               169.0ms    ORD    US     200
162.159.3.152                                169.3ms    DFW    US     200
104.16.137.191                               169.6ms    ORD    US     200
89.116.180.231                               171.1ms    ORD    US     200
104.16.114.150                               171.4ms    ORD    US     200
8.39.214.177                                 171.8ms    DFW    US     200
104.16.88.156                                173.0ms    DFW    US     200
154.197.88.47                                173.1ms    IAD    US     200
104.16.97.236                                173.2ms    DFW    US     200
104.16.76.150                                174.4ms    ORD    US     200
156.225.72.214                               174.5ms    IAD    US     200
159.112.235.212                              174.5ms    DFW    US     200
104.16.101.193                               174.6ms    DFW    US     200
162.159.6.41                                 175.6ms    ORD    US     200
104.16.0.71                                  175.7ms    DFW    US     200
154.206.12.186                               175.8ms    ORD    US     200
162.159.8.253                                175.9ms    DFW    US     200
104.21.114.215                               176.9ms    DFW    US     200
104.16.89.237                                177.0ms    DFW    US     200
88.216.67.204                                177.6ms    ORD    US     200
104.16.84.63                                 179.5ms    DFW    US     200
86.38.214.42                                 180.9ms    ORD    US     200
92.60.74.231                                 182.7ms    DFW    US     200
162.159.4.190                                183.6ms    DFW    US     200
104.21.123.185                               184.2ms    ORD    US     200
104.27.195.129                               184.3ms    ORD    US     200
104.16.153.243                               184.7ms    DFW    US     200
160.153.0.45                                 184.8ms    ORD    US     200
104.16.113.204                               184.9ms    DFW    US     200
104.16.109.230                               185.2ms    DFW    US     200
104.21.122.6                                 186.1ms    DFW    US     200
104.16.70.212                                186.2ms    DFW    US     200
104.16.111.1                                 187.2ms    DFW    US     200
190.93.245.243                               187.7ms    DFW    US     200
104.21.120.165                               187.8ms    DFW    US     200
104.16.96.38                                 187.9ms    ORD    US     200
89.116.250.107                               188.1ms    ORD    US     200
104.25.229.112                               188.8ms    ORD    US     200
154.197.75.17                                189.4ms    ORD    US     200
104.16.77.53                                 190.7ms    ORD    US     200
162.159.9.207                                191.0ms    DFW    US     200
104.16.75.242                                191.4ms    ORD    US     200
104.16.125.15                                192.2ms    DFW    US     200
104.27.206.4                                 192.2ms    DFW    US     200
104.16.92.5                                  196.1ms    DFW    US     200
172.66.42.87                                 197.3ms    ORD    US     200
195.85.59.99                                 197.5ms    DFW    US     200
104.21.69.6                                  198.0ms    DFW    US     200
104.16.122.119                               199.0ms    ORD    US     200
45.205.0.162                                 201.1ms    DFW    US     200
172.66.44.137                                201.3ms    ORD    US     200
104.16.81.57                                 202.1ms    ORD    US     200
188.114.99.50                                202.9ms    ORD    US     200
104.16.154.56                                203.1ms    ORD    US     200
104.16.135.51                                203.3ms    DFW    US     200
104.16.157.207                               205.5ms    ORD    US     200
104.27.0.68                                  206.0ms    DFW    US     200
104.27.3.8                                   206.5ms    ORD    US     200
104.21.68.118                                207.6ms    DFW    US     200
104.16.66.88                                 208.2ms    DFW    US     200
172.66.46.33                                 208.4ms    ORD    US     200
188.114.96.161                               208.6ms    DFW    US     200
170.114.46.75                                209.3ms    DFW    US     200
162.159.10.180                               211.5ms    DFW    US     200
104.19.12.236                                212.1ms    ORD    US     200
104.16.31.216                                212.2ms    ORD    US     200
104.16.74.28                                 214.3ms    ORD    US     200
104.16.44.254                                214.7ms    DFW    US     200
104.16.35.63                                 214.9ms    DFW    US     200
104.24.131.127                               215.8ms    DFW    US     200
104.16.32.30                                 216.2ms    ORD    US     200
188.114.97.84                                217.4ms    ORD    US     200
172.66.47.200                                217.8ms    DFW    US     200
190.93.244.68                                218.4ms    ORD    US     200
14.102.228.84                                218.7ms    ORD    US     200
162.120.94.192                               219.3ms    DFW    US     200
104.16.82.89                                 220.2ms    DFW    US     200
154.197.108.197                              220.3ms    IAD    US     200
104.16.117.150                               220.8ms    DFW    US     200
154.219.5.172                                221.4ms    IAD    US     200
104.24.63.213                                221.6ms    DFW    US     200
104.16.83.154                                221.8ms    DFW    US     200
155.46.213.221                               224.1ms    ORD    US     200
104.27.207.63                                224.7ms    DFW    US     200
104.16.2.9                                   226.6ms    DFW    US     200
162.159.195.103                              227.2ms    DFW    US     200
172.66.43.33                                 227.3ms    ORD    US     200
172.67.69.238                                227.5ms    ORD    US     200
104.16.42.168                                227.6ms    ORD    US     200
104.16.38.167                                227.7ms    ORD    US     200
104.16.34.98                                 228.4ms    DFW    US     200
23.227.39.90                                 228.7ms    ORD    US     200
104.16.55.204                                228.8ms    ORD    US     200
104.21.197.133                               228.8ms    ORD    US     200
104.27.205.51                                228.8ms    DFW    US     200
104.16.61.8                                  229.2ms    ORD    US     200
213.241.198.150                              229.4ms    DFW    US     200
104.16.80.67                                 229.5ms    DFW    US     200
104.16.33.170                                230.6ms    DFW    US     200
104.16.30.178                                231.2ms    DFW    US     200
104.27.204.247                               231.3ms    ORD    US     200
185.146.173.250                              231.3ms    ORD    US     200
104.24.132.219                               231.9ms    ORD    US     200
104.27.202.139                               232.2ms    ORD    US     200
162.159.11.127                               232.3ms    DFW    US     200
172.66.45.167                                232.4ms    ORD    US     200
104.16.23.163                                232.5ms    ORD    US     200
104.16.62.65                                 233.3ms    DFW    US     200
104.16.51.131                                233.5ms    DFW    US     200
104.21.121.116                               233.6ms    DFW    US     200
104.16.45.26                                 234.9ms    DFW    US     200
104.16.56.39                                 235.0ms    ORD    US     200
162.159.13.22                                235.3ms    DFW    US     200
104.16.24.226                                235.4ms    ORD    US     200
172.64.33.48                                 236.0ms    ORD    US     200
104.16.20.173                                237.1ms    ORD    US     200
173.245.58.200                               237.2ms    DFW    US     200
104.16.63.99                                 237.8ms    ORD    US     200
162.159.15.177                               238.3ms    DFW    US     200
104.27.1.201                                 238.8ms    DFW    US     200
167.68.11.49                                 238.9ms    ORD    US     200
104.16.54.45                                 239.0ms    ORD    US     200
162.159.196.149                              239.3ms    ORD    US     200
104.16.46.226                                239.4ms    DFW    US     200
104.16.60.205                                239.7ms    DFW    US     200
172.64.41.189                                239.7ms    ORD    US     200
104.16.18.39                                 240.3ms    ORD    US     200
154.211.8.234                                240.4ms    DFW    US     200
162.159.19.70                                240.8ms    ORD    US     200
104.16.52.249                                241.1ms    ORD    US     200
104.16.156.231                               241.2ms    DFW    US     200
104.24.134.25                                241.4ms    ORD    US     200
188.114.98.205                               241.9ms    ORD    US     200
104.16.16.206                                242.7ms    ORD    US     200
104.21.237.141                               242.8ms    ORD    US     200
104.16.53.12                                 243.8ms    DFW    US     200
172.64.34.27                                 244.1ms    DFW    US     200
162.159.193.187                              244.4ms    ORD    US     200
154.197.121.187                              245.0ms    DFW    US     200
104.27.5.233                                 245.1ms    DFW    US     200
104.21.239.184                               245.4ms    DFW    US     200
104.16.67.252                                245.5ms    ORD    US     200
104.16.158.183                               246.2ms    DFW    US     200
104.27.2.203                                 246.2ms    ORD    US     200
45.142.120.19                                246.2ms    ORD    US     200
104.16.13.216                                246.6ms    ORD    US     200
8.47.69.156                                  246.9ms    DFW    US     200
